SNo,Area,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,Hubei,Mainland China,3/18/2020 12:13,67800,3122,56927
2,,Italy,3/18/2020 17:33,35713,2978,4025
3,,Iran,3/18/2020 12:33,17361,1135,5389
4,,Spain,3/18/2020 13:13,13910,623,1081
5,,Germany,3/18/2020 19:33,12327,28,105
6,France,France,3/18/2020 18:33,9043,148,12
7,,South Korea,3/18/2020 2:53,8413,84,1540
8,,Switzerland,3/18/2020 14:53,3028,28,15
9,United Kingdom,UK,3/18/2020 14:53,2626,71,65
10,New York,US,3/18/2020 19:33,2495,16,0
11,Netherlands,Netherlands,3/18/2020 13:13,2051,58,2
12,,France,3/10/2020 18:53,1784,33,12
13,,Austria,3/18/2020 14:53,1646,4,9
14,,Norway,3/18/2020 15:53,1550,6,1
15,,Belgium,3/18/2020 12:33,1486,14,31
16,Guangdong,Mainland China,3/18/2020 8:53,1370,8,1313
17,,Sweden,3/18/2020 17:53,1279,10,1
18,Henan,Mainland China,3/14/2020 9:53,1273,22,1250
19,Zhejiang,Mainland China,3/17/2020 2:13,1232,1,1216
20,,Netherlands,3/15/2020 18:20,1135,20,2
21,Denmark,Denmark,3/18/2020 16:59,1057,4,1
22,Hunan,Mainland China,3/14/2020 8:33,1018,4,1014
23,Washington,US,3/18/2020 14:13,1014,55,0
24,Anhui,Mainland China,3/11/2020 2:18,990,6,984
25,Jiangxi,Mainland China,3/12/2020 2:13,935,1,934
26,,Japan,3/18/2020 12:33,889,29,144
27,,Malaysia,3/18/2020 10:33,790,2,60
28,Shandong,Mainland China,3/17/2020 0:33,761,7,746
29,California,US,3/18/2020 19:14,751,13,0
30,Diamond Princess cruise ship,Others,3/18/2020 10:33,712,7,325
31,Jiangsu,Mainland China,3/15/2020 1:53,631,0,631
32,Chongqing,Mainland China,3/15/2020 3:53,576,6,570
33,Sichuan,Mainland China,3/18/2020 2:13,540,3,525
34,Heilongjiang,Mainland China,3/18/2020 11:53,482,13,459
35,Beijing,Mainland China,3/18/2020 5:33,469,8,378
36,,Czech Republic,3/18/2020 10:33,464,0,3
37,UK,UK,3/11/2020 21:33,456,8,18
38,,Qatar,3/18/2020 19:14,452,0,4
39,,Portugal,3/18/2020 12:33,448,2,3
40,,Israel,3/18/2020 14:33,433,0,11
41,,Greece,3/18/2020 16:59,418,5,8
42,,UK,3/10/2020 23:53,382,6,18
43,,Brazil,3/18/2020 19:14,372,3,2
44,Shanghai,Mainland China,3/18/2020 5:53,361,3,326
45,,Finland,3/18/2020 13:13,336,0,10
