Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08
Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05
Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03
Space Invaders,2600,N/A,Shooter,Atari,2.36,0.14,0,0.03
Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01
Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01
Commando,2600,1987,Action,Activision,0.44,0.02,0,0
Circus Atari,2600,N/A,Action,Atari,0.43,0.03,0,0
Gremlins,2600,1983,Action,Atari,0.43,0.03,0,0
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3,2.14,0.78
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1.01,0.46,0.23
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.62,0.64,0.55,0.11
Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.74,0.62,0.41,0.13
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09
Sonic Generations,3DS,2011,Platform,Sega,0.44,0.47,0.01,0.09
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1
Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34
Kirby's Dream Land 2,GB,1995,Platform,Nintendo,0.69,0.14,1.48,0.05
Donkey Kong Country,GB,2000,Platform,Nintendo,1.04,0.72,0.3,0.13
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13
Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1
